,username,fullname,followers,profile_link,biography
0,"
              mihaelapopescumgpc
            ","
              Mihaela Popescu
            ","
                  629
                ",https://www.instagram.com/mihaelapopescumgpc,"
              Production designer, stage designer, set designer and costume designer
            "
1,"
              lorenzkaz
            ","
              lorenz+kaz
            ","
                  414
                ",https://www.instagram.com/lorenzkaz,"
              Studio for Design | Product Design | Interior Design | Art Direction | Graphic Design
            "
2,"
              ciaraceme
            ","
              Cyrielle Ernst
            ","
                  144
                ",https://www.instagram.com/ciaraceme,"
              Interior designer - Wedding designer - Graphic designer  🌺
            "
3,"
              alanwang1016
            ","
              Alan Wang
            ","
                  162
                ",https://www.instagram.com/alanwang1016,"
              Visual Design/ Concept Design/ Motor Custom Design
            "
4,"
              danparrygfx
            ","
              Graphic Design North Wales
            ","
                  665
                ",https://www.instagram.com/danparrygfx,"
              Brand design - web design - promotional design
            "
5,"
              spyroustavroula
            ","
              Stavroula P. Spyrou
            ","
                  295
                ",https://www.instagram.com/spyroustavroula,"
              Costume Designer . Hat Designer .  Illustrator .
        Fashion Designer . Digital Designer
            "
6,"
              jamieburnsdesign
            ","
              Jamie Burns
            ","
                  130
                ",https://www.instagram.com/jamieburnsdesign,"
              3D Design
        Exhibition Design
        Graphic Design
            "
7,"
              studio.d04
            ","
              D04
            ","
                  1.3k
                ",https://www.instagram.com/studio.d04,"
              A Multidisciplinary Design Studio.
        Architecture | Interior Design 
        Installation Design | Product Design
            "
8,"
              karagriderdesign
            ","
              Kara Grider
            ","
                  501
                ",https://www.instagram.com/karagriderdesign,"
              •Home design enthusiast
        •Design with meaning
        •Interior Design
        •E-Design
            "
9,"
              gurjotshandesigns
            ","
              GURJOT SHAN DESIGNS
            ","
                  325
                ",https://www.instagram.com/gurjotshandesigns,"
              Interior Design - Brand Design - Event Design
            "
10,"
              ussaydesigns
            ","
              Ussay Designs
            ","
                  969
                ",https://www.instagram.com/ussaydesigns,"
              Website Design  ::  Graphic Design  ::  Printing  ::  Fashion Design
            "
11,"
              brendan_vdmerwe
            ","
              Brendan vdm
            ","
                  145
                ",https://www.instagram.com/brendan_vdmerwe,"
              Van_Der_Designs - [ of the Designs ]
        For the Design
        Designing creative solutions
            "
12,"
              ant.bright
            ","
              Ant Bright
            ","
                  351
                ",https://www.instagram.com/ant.bright,"
              NYC.                                                                 
        Set Design | Product Design | Production Design
            "
13,"
              layla.design.chameleon
            ","
              Layla
            ","
                  95
                ",https://www.instagram.com/layla.design.chameleon,"
              Print Designer. Web Designer. Motion Designer.
            "
14,"
              blancharme
            ","
              Biancamaria Marchioro
            ","
                  981
                ",https://www.instagram.com/blancharme,"
              Art & Design Studio, [email protected] #designer #design
            "
15,"
              carinestelte
            ","
              Carine Stelte
            ","
                  27
                ",https://www.instagram.com/carinestelte,"
              Interior Design /                          Architecture Design /                         Object Design
            "
16,"
              aviddesignstudio
            ","
              AVID Designstudio
            ","
                  1.2k
                ",https://www.instagram.com/aviddesignstudio,"
              ✖️ PRODUKT DESIGN
        ✖️ INTERFACE DESIGN
        ✖️ CORPORATE DESIGN
        .
        .
            "
17,"
              thisisrubes
            ","
              Ruby Schechter
            ","
                  178
                ",https://www.instagram.com/thisisrubes,"
              Food designer. Experience designer. Product designer.
            "
18,"
              lenacorinna
            ","
              Lena Blackstock
            ","
                  688
                ",https://www.instagram.com/lenacorinna,"
              Design research + Design strategy + Urban design
            "
19,"
              marsstudiosdzn
            ","
              Mars Studios Design
            ","
                  1.6k
                ",https://www.instagram.com/marsstudiosdzn,"
              Branding | Web design | Packaging design | Editorial Design.
            "
20,"
              studiotristam
            ","
              Tristam Steinberg
            ","
                  1.4k
                ",https://www.instagram.com/studiotristam,"
              Set Designer/Spatial Designer/Experience Designer
            "
21,"
              nn_nickynina
            ","
              Nicky Nina de Jong
            ","
                  424
                ",https://www.instagram.com/nn_nickynina,"
              Costume designer, scenographer, wedding clothes designer, designer
            "
22,"
              karindeyoung
            ","
              karin deYoung-wood
            ","
                  155
                ",https://www.instagram.com/karindeyoung,"
              designer • apparel design | interior design • seattle
            "
23,"
              bonbon_zurich
            ","
              Bonbon
            ","
                  1.5k
                ",https://www.instagram.com/bonbon_zurich,"
              Book design, graphic design, teaching design.
            "
24,"
              malihadesign
            ","
              maliha
            ","
                  777
                ",https://www.instagram.com/malihadesign,"
              Fashion designer 
        Bag designer 
        Jewellery designer
            "
25,"
              walnutstreetdk
            ","
              Walnutstreet.dk
            ","
                  1.7k
                ",https://www.instagram.com/walnutstreetdk,"
              Communicating design • Nordic design • Interior design agency
            "
26,"
              manuel.canestrini.creative
            ","
              Manuel Canestrini
            ","
                  330
                ",https://www.instagram.com/manuel.canestrini.creative,"
              | FORMACIST |
        | Product Designer | Interior Designer | Architectural Designer
            "
27,"
              zby0321
            ","
              0321studio
            ","
                  144
                ",https://www.instagram.com/zby0321,"
              Architecture / interior design / product design / exhibition design /
            "
28,"
              estellebughin
            ","
              Estelle Bughin
            ","
                  122
                ",https://www.instagram.com/estellebughin,"
              Interior design / Product design / Graphic design
            "
29,"
              panchodesign
            ","
              I❤DESIGN
            ","
                  341
                ",https://www.instagram.com/panchodesign,"
              I❤DESIGN
        I❤DESIGN
        I❤DESIGN
            "
30,"
              p_friks
            ","
              pascal freriks
            ","
                  250
                ",https://www.instagram.com/p_friks,"
              Friks Design
        Design for Motorsport
            "
31,"
              mbogazzi
            ","
              Marco Bogazzi
            ","
                  292
                ",https://www.instagram.com/mbogazzi,"
              Furniture Designer | Industrial Designer
            "
32,"
              mingvald
            ","
              Martin Ingvaldsen
            ","
                  128
                ",https://www.instagram.com/mingvald,"
              UX Designer, Strategic Designer and Industrial designer.
            "
33,"
              cidsurat
            ","
              Creator Institute of Designer
            ","
                  126
                ",https://www.instagram.com/cidsurat,"
              -Fashion Designing
        -Interior Designing &
        Jewellery Designing
            "
34,"
              esamiguezdesign
            ","
              Silvia Miguez
            ","
                  76
                ",https://www.instagram.com/esamiguezdesign,"
              Graphic Designer | Editorial & Book Design | Environmental Design
            "
35,"
              edkorr
            ","
              Edson Korner
            ","
                  1.2k
                ",https://www.instagram.com/edkorr,"
              Designer | Fashion designer
            "
36,"
              sladana_krstic
            ","
              QueenMood Couture
            ","
                  918
                ",https://www.instagram.com/sladana_krstic,"
              Fashion Designer, Graphic Designer
            "
37,"
              michalprazsky
            ","
              Michal Pražský
            ","
                  518
                ",https://www.instagram.com/michalprazsky,"
              Product Design | Interior Design | Industrial Design
            "
38,"
              maximjezek
            ","
              Maxim Jezek
            ","
                  534
                ",https://www.instagram.com/maximjezek,"
              Set Design, Furniture Design
            "
